L,S,return,max_dd,return_to_dd,sharpe,trades
500,0.01,755875.47,-18816.52,40.170843,1.8945464,4391
500,0.005,737680.93,-28321.733,26.046461,2.1771266,8007
500,0.015,674624.55,-27138.964,24.858154,1.4524029,3103
500,0.025,571696.24,-30140.57,18.967665,1.0174283,2002
500,0.02,609738.56,-33214.368,18.357674,1.1807381,2442
10000,0.025,228145.92,-13307.08,17.144702,0.743762,439
1000,0.005,532029.88,-31239.435,17.030714,1.8148188,5658
1000,0.015,508558.09,-30305.325,16.781146,1.2987435,2184
1000,0.02,488230.77,-30374.76,16.073568,1.1198594,1698
1500,0.02,401400.13,-25132.772,15.971184,0.99545212,1428
2000,0.02,324586.49,-20531.212,15.809417,0.85115581,1243
1000,0.01,536405.58,-34311.252,15.633518,1.5597606,3118
8000,0.005,230701.59,-15132.479,15.245459,1.0498756,2077
1500,0.01,448286.64,-30089.448,14.898467,1.3937138,2618
1500,0.015,416485.62,-28375.54,14.677628,1.14213,1841
7000,0.005,248286.12,-16945.955,14.651645,1.109688,2212
7500,0.005,238029.94,-16279.94,14.621057,1.0735497,2143
7000,0.01,236044.01,-17166.688,13.75012,0.93978938,1228
6500,0.005,252786.14,-18796.02,13.448919,1.1156119,2327
10000,0.03,231765.06,-17257.832,13.429558,0.69560543,364
6500,0.01,242490.25,-18202.744,13.321632,0.95203284,1292
10000,0.005,212924.64,-16002.79,13.30547,0.99560592,1875
1500,0.005,438008.82,-32920.97,13.304858,1.5894692,4767
2500,0.005,346206.23,-26198.728,13.21462,1.365961,3667
8500,0.005,217711.51,-16656.5,13.070664,1.0017411,2040
2000,0.005,376609.34,-29356.945,12.828629,1.4350508,4113
6000,0.01,248005.07,-19339.544,12.823729,0.96405083,1353
1000,0.025,471169.59,-36979.16,12.74149,0.9905955,1373
9500,0.005,212499,-16680.91,12.739053,0.99112564,1924
9000,0.005,212089.66,-16683.38,12.712632,0.98372569,1976
3500,0.005,303254.93,-24132.1,12.566454,1.2408484,3159
10000,0.035,233031.76,-18643.785,12.499166,0.65927567,308
9500,0.025,213041.25,-17086.81,12.46817,0.68971326,460
4000,0.005,285101.25,-23258.5,12.257938,1.1824276,3005
3500,0.015,256970.74,-21020.143,12.224976,0.81899968,1241
2000,0.01,372522.22,-30492.422,12.216879,1.2224217,2276
9500,0.03,213396.65,-17487.866,12.202555,0.635678,384
8000,0.025,213547.53,-17632.095,12.111296,0.67023552,504
5500,0.005,264823.3,-21890.12,12.097846,1.1512312,2525
4500,0.005,279452.9,-23119.817,12.087159,1.1769412,2824
6000,0.005,261177.5,-21641.84,12.068174,1.1437118,2438
7500,0.025,223907.98,-18626.035,12.021237,0.69651333,517
10000,0.02,196423.93,-16373.92,11.996146,0.693568,561
1500,0.025,396233.07,-33123.435,11.962318,0.90084227,1153
500,0.03,469840.37,-39358.51,11.937453,0.77731585,1732
3500,0.01,299586.64,-25101.062,11.935218,1.0702954,1737
5000,0.005,276237.5,-23229.497,11.891669,1.1867928,2641
3000,0.005,317423.53,-26857.963,11.8186,1.2763476,3392
5500,0.01,249836,-21233.424,11.766166,0.96232614,1404
2500,0.01,334835.53,-28695.832,11.668438,1.1480114,2025
10000,0.01,212391.9,-18255.714,11.63427,0.88889496,1027
5000,0.01,260289.97,-23024.128,11.305096,0.98862957,1463
3000,0.01,313065.57,-27809.16,11.257642,1.0980231,1867
3500,0.02,258871.43,-23266.936,11.126151,0.75161792,955
3000,0.02,255623.38,-23462.852,10.894813,0.7261246,1032
4500,0.01,270643.88,-24916.542,10.862016,1.0030036,1558
8500,0.025,201459.14,-18608.06,10.826445,0.63784952,492
7000,0.02,206279.68,-19279.148,10.699626,0.68621538,675
9500,0.01,208297.38,-19548.444,10.655446,0.86846347,1061
2000,0.015,328385.68,-30864.549,10.639575,0.95098665,1612
4000,0.02,234641.29,-22078.508,10.627588,0.69562183,917
7500,0.01,226450.99,-21379.354,10.592041,0.91060696,1190
10000,0.04,225789.52,-21461.04,10.520903,0.61236458,274
4000,0.01,283417.02,-27052.932,10.476388,1.029667,1651
7500,0.02,201616.25,-19279.148,10.457737,0.67943502,652
9500,0.02,184831.26,-17704.772,10.439629,0.64845482,584
2500,0.015,287312.78,-27583.979,10.415929,0.87293689,1441
7000,0.025,223721.99,-21579.225,10.367471,0.68718959,537
6000,0.015,205138.9,-19865.245,10.326522,0.72292163,978
4500,0.015,228099.09,-22279.921,10.237877,0.75627912,1119
6500,0.015,201276.43,-19865.245,10.132089,0.71793821,935
8000,0.01,218793.12,-21717.864,10.074339,0.88749681,1155
8000,0.02,193807.14,-19279.148,10.052682,0.65875395,634
7000,0.015,198915.82,-19865.245,10.013258,0.72077199,883
5500,0.015,208244.16,-20822.068,10.001128,0.72567008,1013
3000,0.015,263747.95,-26406.834,9.987867,0.82268129,1334
9000,0.02,178942.7,-17968.452,9.9587154,0.62060123,599
9500,0.035,213106.89,-21506.802,9.9088133,0.59810362,326
4000,0.015,238481.67,-24317.263,9.8070935,0.77433325,1185
9000,0.025,203883.1,-21019.97,9.6994953,0.65253168,472
7500,0.03,217152.7,-22398.234,9.6950813,0.62206819,433
5000,0.015,213234.2,-21997.675,9.6934881,0.73046632,1055
9000,0.03,200352.23,-20749.074,9.6559601,0.58978096,395
6500,0.025,232311.35,-24077.03,9.6486716,0.7018694,562
7000,0.03,214415.73,-22398.234,9.5728857,0.60539086,451
9000,0.01,203181.46,-21483.274,9.4576582,0.84037268,1095
8500,0.02,180627.95,-19279.148,9.3690835,0.62005727,621
10000,0.015,188173.13,-20128.9,9.3484059,0.72123337,734
5500,0.02,213350.52,-22867.316,9.3299326,0.68091645,773
8000,0.03,208507.19,-22398.234,9.3090906,0.60232236,422
2500,0.02,277300.64,-29945.704,9.2601141,0.76620206,1111
10000,0.045,221770.41,-24278.295,9.1345132,0.56882549,246
8500,0.01,207826.42,-22961.524,9.0510726,0.85152174,1132
6500,0.02,209631.08,-23224.548,9.0262715,0.68572091,712
8000,0.035,213059.78,-24064.953,8.8535299,0.57719497,358
7500,0.015,194142.33,-22111.458,8.7801685,0.71235157,853
1000,0.03,422388.47,-48144.632,8.7733244,0.82007875,1166
4000,0.025,253591.94,-29087.525,8.7182371,0.69056676,728
2000,0.025,321326.28,-37004.75,8.6833792,0.77198394,1006
4500,0.02,226555.43,-26143.012,8.6660034,0.68716327,862
1500,0.03,356115.84,-41271.068,8.6287042,0.74915351,976
8500,0.03,191844.67,-22398.234,8.5651696,0.55884543,414
500,0.035,431448.94,-50405.781,8.5595131,0.66868305,1523
6000,0.02,212541.65,-25064.628,8.4797449,0.68680057,745
5000,0.02,213289.42,-25190.088,8.4671963,0.66767537,808
2500,0.025,291962.65,-34669.815,8.4212347,0.73801299,889
4500,0.025,244229.93,-29087.525,8.3963806,0.68124406,686
7500,0.035,223090.52,-27164.324,8.2126292,0.599211,366
8500,0.035,196666.46,-24064.953,8.1723185,0.53688066,351
3500,0.025,279830.54,-35153.42,7.960265,0.74562132,758
9500,0.04,202143.53,-25625.912,7.8882472,0.54286322,291
9500,0.015,178184.4,-22868.925,7.7915511,0.67937575,763
1000,0.04,421966.45,-54939.456,7.680572,0.72862974,878
8000,0.015,184938.35,-24121.805,7.6668535,0.68467616,831
6500,0.03,221508.15,-29006.434,7.6365177,0.61582451,472
10000,0.05,211815.46,-28269.33,7.4927655,0.52387261,226
3000,0.025,281556.87,-37639.215,7.4804129,0.73268793,819
7000,0.035,218803.03,-29547.07,7.405236,0.57946516,381
5500,0.025,226824.43,-31192.995,7.2716464,0.66788915,616
8000,0.04,200304.75,-27672.688,7.2383554,0.51809459,320
1000,0.035,400725.02,-56479.215,7.0950883,0.72763096,1009
500,0.04,421038.07,-59413.4,7.0865844,0.62334665,1365
6500,0.035,221949.02,-31436.581,7.0602149,0.57932224,400
8500,0.015,175760.56,-25002.795,7.0296366,0.6566814,812
6000,0.025,228141.85,-32785.885,6.9585387,0.68089224,592
5500,0.03,220075.52,-31670.59,6.9488925,0.59605732,516
4000,0.03,233335.91,-33721.574,6.9194844,0.58533794,613
9000,0.035,194528.46,-28189.353,6.9007777,0.53882599,337
9000,0.015,170019.24,-24761.705,6.8662169,0.6416364,786
1500,0.035,333853.62,-49582.022,6.7333603,0.65681615,847
8500,0.04,185178.93,-27672.688,6.6917579,0.48239522,313
4500,0.03,230124.62,-34527.13,6.6650376,0.59074634,576
7500,0.04,207893.97,-31456.512,6.6089326,0.53313872,328
5000,0.025,230546.04,-34926.61,6.6008708,0.66272596,642
3500,0.03,259763.22,-40201.14,6.4615885,0.63777899,638
1500,0.04,343430.3,-53305.736,6.442652,0.64192875,735
1000,0.045,388358.01,-61224.968,6.3431313,0.63678741,792
2000,0.03,287126.43,-45806.976,6.2681813,0.63754135,849
5500,0.035,215031.72,-35685.471,6.0257499,0.54711228,442
9500,0.045,200896.44,-33346.106,6.0245848,0.50958218,260
6000,0.03,217039.85,-36332.59,5.973696,0.59563973,496
5000,0.03,218213.74,-36815.048,5.9272975,0.57735746,540
1000,0.05,353936.48,-60000.45,5.8988971,0.55602418,734
9000,0.04,186242.86,-31797.088,5.8572299,0.49203093,300
3000,0.03,256149.48,-43967.494,5.825883,0.61439684,691
7000,0.04,198279.09,-34492.736,5.7484303,0.50132457,343
4500,0.035,221147.15,-38541.635,5.7378768,0.53380271,496
4000,0.035,225716.27,-39365.553,5.7338524,0.53179979,527
8000,0.045,196984.89,-34519.549,5.7064734,0.48220234,286
1500,0.045,321616.1,-56606.869,5.6815737,0.56766029,658
3500,0.04,254284.59,-44757.248,5.6814171,0.55774286,482
2500,0.03,263500.79,-48212.968,5.4653509,0.61377513,750
3500,0.035,254454.94,-46590.071,5.4615701,0.5870938,547
6500,0.04,197039.8,-36140.944,5.4519827,0.49086202,361
6000,0.035,217118.93,-40331.074,5.3834156,0.55942864,422
2000,0.035,275437.46,-51597.048,5.3382406,0.5736616,730
7500,0.045,207597.45,-38987.826,5.3246738,0.50135518,293
5000,0.035,211914.29,-40044.697,5.291944,0.5266338,463
8500,0.045,182161.02,-34552.856,5.2719527,0.44882149,280
2000,0.04,280366.95,-54332.536,5.1602037,0.55503945,638
8000,0.05,184028.65,-35870.12,5.1304163,0.4344022,262
4000,0.04,212763.67,-41729.256,5.0986692,0.47654484,468
3500,0.045,240639.09,-49060.188,4.904977,0.49783012,436
3000,0.035,252893.38,-51636.984,4.8975241,0.56858505,591
9500,0.05,186956.01,-38331.5,4.8773466,0.45713064,240
2000,0.045,265281.65,-54904.148,4.8317232,0.49515579,573
5500,0.04,194008.3,-40624.704,4.7756236,0.47033269,396
500,0.045,373837.4,-79181.869,4.7212499,0.52974845,1263
7500,0.05,192801.68,-41022.85,4.6998607,0.44917851,269
9000,0.045,180476.49,-38643.949,4.6702392,0.45058118,269
7000,0.045,198291.86,-42677.528,4.6462828,0.47059771,307
1500,0.05,312766.2,-68363.32,4.5750587,0.52744329,603
6500,0.045,204942.16,-44980.537,4.5562408,0.47912267,321
2500,0.035,254935.79,-56202.204,4.5360461,0.55653446,645
3000,0.04,247118.68,-55338.256,4.465603,0.52825679,523
6000,0.04,196641.98,-45098.912,4.3602379,0.48286733,378
8500,0.05,167153.52,-39085.41,4.2766219,0.39711373,258
500,0.05,346180.19,-81328.27,4.2565788,0.47207708,1187
4500,0.04,197986.27,-46565.84,4.2517492,0.45577783,444
5000,0.04,188875.61,-45071.024,4.1906216,0.44741465,414
3000,0.045,240210.98,-57757.387,4.1589656,0.48447213,470
2500,0.04,247694.7,-61032.664,4.0583957,0.51413277,568
9000,0.05,162016.77,-39994.52,4.0509742,0.39028883,249
7000,0.05,183303.06,-45366.03,4.0405356,0.41882507,282
2000,0.05,252937.86,-64970.93,3.8930928,0.45171971,525
6500,0.05,186191.12,-48323.84,3.8529868,0.41889205,296
4000,0.045,197348.42,-51265.188,3.84956,0.41639313,423
4500,0.045,190593.54,-49729.267,3.8326232,0.413497,399
5500,0.045,196382.37,-51841.917,3.7881,0.44747977,354
3500,0.05,220256.77,-58596.12,3.7588968,0.43790026,403
2500,0.05,220693.48,-59552.59,3.7058586,0.41340684,469
6000,0.045,202416.54,-55480.228,3.6484446,0.46683855,337
2500,0.045,236544.38,-66321.932,3.5666088,0.46234813,511
3000,0.05,216428.03,-63828,3.3908007,0.41967074,434
5000,0.045,187944.98,-57135.979,3.289433,0.4187189,370
5500,0.05,176117.99,-57562.84,3.0595778,0.38627414,326
6000,0.05,178857.3,-60623.63,2.9502902,0.39710803,312
4500,0.05,172494.44,-58648.03,2.9411805,0.35970655,368
4000,0.05,177820.33,-60801.12,2.9246226,0.36027042,391
5000,0.05,178073.61,-64187.42,2.7742759,0.38079521,339
