horizon_bars,horizon_label,horizon_minutes,bin,n,push_mean,response_mean,response_se
1,5 min,5,1,54474,-1.5024325827513505,0.03691162589010329,0.006562992109024713
1,5 min,5,2,59436,-0.515782556017527,0.018158607674776013,0.004472549227614476
1,5 min,5,3,60875,-0.20355941780432035,0.010377855344915728,0.00293383669076587
1,5 min,5,4,67973,-0.06824619583612558,0.002271827090238167,0.0020421256899718094
1,5 min,5,5,98985,0.0,-0.0010614465037151845,0.0016536348895917015
1,5 min,5,6,39437,0.04815182500927936,-0.0034883425222889944,0.0022108229820839587
1,5 min,5,7,49232,0.11671966389659935,-0.0025967479566062057,0.0028113124799603565
1,5 min,5,8,49719,0.25365539612633725,-0.008820909957652332,0.0035262659324971743
1,5 min,5,9,53924,0.565675896035686,-0.019035169010511235,0.0045526971756421055
1,5 min,5,10,50535,1.559065288043596,-0.03776966837919906,0.007339977558098855
2,10 min,10,1,26791,-1.5164191186886806,0.04023519300666205,0.009665668390377077
2,10 min,10,2,26832,-0.55560542303988,0.01594060463860588,0.006609186578247007
2,10 min,10,3,28382,-0.24427736509187906,0.011776438607433064,0.00543354800579559
2,10 min,10,4,31670,-0.0976215725207277,0.009356384046476984,0.003284173227905991
2,10 min,10,5,46680,-0.012880124652411512,0.0022246548938485745,0.002057402402199867
2,10 min,10,6,30901,0.049453121525117945,-0.007565044645591891,0.002660098340609727
2,10 min,10,7,25213,0.13307017907385998,-0.005098275398614557,0.0037328829426424483
2,10 min,10,8,25070,0.280417743409616,-0.012165792694408022,0.005775873893911846
2,10 min,10,9,25210,0.5903759488556846,-0.014360758227451049,0.006865685296656811
2,10 min,10,10,25576,1.5567531192520934,-0.04529249565229379,0.00952242383407761
3,15 min,15,1,18124,-1.5095209071546454,0.06798929437752996,0.011738956380988971
3,15 min,15,2,18576,-0.5464021839416754,0.021075149519545363,0.008437184768605258
3,15 min,15,3,18520,-0.24165370048400628,0.010841310659769787,0.0058160499314555995
3,15 min,15,4,16012,-0.1097490087305436,-0.003178135128231408,0.004848158181895846
3,15 min,15,5,18566,-0.040844430540224734,0.003962860483255914,0.0032225502857282456
3,15 min,15,6,25359,0.011762543352813891,0.0010507648969512273,0.002722605439064008
