base_bars,base_label,q_multiple,horizon_bars,horizon_label,horizon_minutes,variance_ratio,vr_curve_change,vr_signal
1,5 min,1,1,5 min,5,1.0,,baseline
1,5 min,2,2,10 min,10,0.9774800331985545,-0.022519966801445523,mean-reverting
1,5 min,3,3,15 min,15,0.9609448142838856,-0.016535218914668914,mean-reverting
1,5 min,4,4,20 min,20,0.9552287727104206,-0.005716041573464947,no clear
1,5 min,6,6,30 min,30,0.9458005415025565,-0.009428231207864068,no clear
1,5 min,8,8,40 min,40,0.9387405629120804,-0.007059978590476135,no clear
1,5 min,12,12,1.0 hr,60,0.9297728443675554,-0.00896771854452505,no clear
1,5 min,16,16,1.3 hr,80,0.9233401321974173,-0.006432712170138077,no clear
1,5 min,24,24,2.0 hr,120,0.9193062476801493,-0.004033884517267938,no clear
1,5 min,32,32,2.7 hr,160,0.917845277883522,-0.0014609697966273538,no clear
1,5 min,48,48,4.0 hr,240,0.9241604948748295,0.006315216991307548,no clear
1,5 min,64,64,5.3 hr,320,0.9269658538089554,0.0028053589341258123,no clear
1,5 min,96,96,8.0 hr,480,0.9295443400810087,0.0025784862720533708,no clear
1,5 min,192,192,16.0 hr,960,0.9193020690975353,-0.010242270983473412,mean-reverting
