base_bars,base_label,q_multiple,horizon_bars,horizon_label,horizon_minutes,variance_ratio,vr_curve_change,vr_signal
1,5 min,1,1,5 min,5,1.0,,baseline
1,5 min,2,2,10 min,10,0.9774800331985545,-0.022519966801445523,mean-reverting
1,5 min,3,3,15 min,15,0.9609448142838856,-0.016535218914668914,mean-reverting
1,5 min,4,4,20 min,20,0.9552287727104206,-0.005716041573464947,no clear
1,5 min,6,6,30 min,30,0.9458005415025565,-0.009428231207864068,no clear
1,5 min,8,8,40 min,40,0.9387405629120804,-0.007059978590476135,no clear
1,5 min,12,12,1.0 hr,60,0.9297728443675554,-0.00896771854452505,no clear
1,5 min,16,16,1.3 hr,80,0.9233401321974173,-0.006432712170138077,no clear
1,5 min,24,24,2.0 hr,120,0.9193062476801493,-0.004033884517267938,no clear
1,5 min,32,32,2.7 hr,160,0.917845277883522,-0.0014609697966273538,no clear
1,5 min,48,48,4.0 hr,240,0.9241604948748295,0.006315216991307548,no clear
1,5 min,64,64,5.3 hr,320,0.9269658538089554,0.0028053589341258123,no clear
1,5 min,96,96,8.0 hr,480,0.9295443400810087,0.0025784862720533708,no clear
1,5 min,192,192,16.0 hr,960,0.9193020690975353,-0.010242270983473412,mean-reverting
6,30 min,1,6,30 min,30,1.0,,baseline
6,30 min,2,12,1.0 hr,60,0.9830538296060407,-0.016946170393959292,mean-reverting
6,30 min,3,18,1.5 hr,90,0.9743522840583609,-0.008701545547679768,no clear
6,30 min,4,24,2.0 hr,120,0.9719874406285317,-0.002364843429829233,no clear
6,30 min,6,36,3.0 hr,180,0.9718033067167691,-0.0001841339117626406,no clear
6,30 min,8,48,4.0 hr,240,0.9771198622985049,0.005316555581735827,no clear
6,30 min,12,72,6.0 hr,360,0.9810907509940502,0.003970888695545294,no clear
6,30 min,16,96,8.0 hr,480,0.9828122307947484,0.0017214798006982557,no clear
6,30 min,24,144,12.0 hr,720,0.980364186166255,-0.002448044628493462,no clear
6,30 min,32,192,16.0 hr,960,0.9719830225906572,-0.008381163575597816,no clear
6,30 min,48,288,24.0 hr (~1.0 days),1440,0.9526413142103197,-0.01934170838033744,mean-reverting
6,30 min,64,384,32.0 hr (~1.3 days),1920,0.9137872749553801,-0.038854039254939576,mean-reverting
6,30 min,96,576,48.0 hr (~2.0 days),2880,0.8860163512486586,-0.027770923706721518,mean-reverting
6,30 min,192,1152,96.0 hr (~4.0 days),5760,0.8811467941321928,-0.004869557116465861,no clear
12,1.0 hr,1,12,1.0 hr,60,1.0,,baseline
12,1.0 hr,2,24,2.0 hr,120,0.9887428453618415,-0.011257154638158462,mean-reverting
12,1.0 hr,3,36,3.0 hr,180,0.9885555372956736,-0.00018730806616795714,no clear
12,1.0 hr,4,48,4.0 hr,240,0.9939637412226817,0.005408203927008137,no clear
12,1.0 hr,6,72,6.0 hr,360,0.9980030812628264,0.004039340040144723,no clear
12,1.0 hr,8,96,8.0 hr,480,0.9997542364375009,0.0017511551746745013,no clear
12,1.0 hr,12,144,12.0 hr,720,0.9972639916973177,-0.002490244740183223,no clear
12,1.0 hr,16,192,16.0 hr,960,0.9887383511645337,-0.00852564053278404,no clear
12,1.0 hr,24,288,24.0 hr (~1.0 days),1440,0.9690632247392711,-0.01967512642526259,mean-reverting
12,1.0 hr,32,384,32.0 hr (~1.3 days),1920,0.9295394081538554,-0.039523816585415705,mean-reverting
12,1.0 hr,48,576,48.0 hr (~2.0 days),2880,0.9012897611148416,-0.02824964703901378,mean-reverting
12,1.0 hr,64,768,64.0 hr (~2.7 days),3840,0.8912049578654203,-0.010084803249421292,mean-reverting
12,1.0 hr,96,1152,96.0 hr (~4.0 days),5760,0.8963362611438204,0.005131303278400057,no clear
12,1.0 hr,192,2304,192.0 hr (~8.0 days),11520,0.8758428122838317,-0.020493448859988717,mean-reverting
