horizon_bars,horizon_label,horizon_minutes,bin,n,push_mean,response_mean,response_se
1,5 min,5,1,34950,-1.266438014098242,0.015480909282203312,0.008260265502716664
1,5 min,5,2,34292,-0.5873401542011739,0.00758082234366941,0.005191459848614302
1,5 min,5,3,35293,-0.35680867088751395,0.00998255332068357,0.004192696087135065
1,5 min,5,4,37442,-0.20425191619735703,0.006664316495459651,0.00411129380704834
1,5 min,5,5,32218,-0.08568879170394102,0.004811672586089172,0.0043967107661601985
1,5 min,5,6,34624,0.007750476309423904,0.0014449783856159107,0.00428654148577576
1,5 min,5,7,41102,0.1140184887688732,-0.0007157974082606629,0.0035203389595001135
1,5 min,5,8,27960,0.23545102042683871,0.003762564701475601,0.004485124865344405
1,5 min,5,9,33610,0.3711320925787884,-0.004562460011688026,0.005300565636829252
1,5 min,5,10,35170,0.5968891335977601,-0.01111345174561595,0.00497213570432348
1,5 min,5,11,33813,1.2724218074884825,-0.027525261906414543,0.0075127089126012835
2,10 min,10,1,17455,-1.3349677699474822,0.011709214601043218,0.011035503971031771
2,10 min,10,2,18341,-0.5889715219667087,0.012810038754534639,0.00721967413213152
2,10 min,10,3,17234,-0.3503179416572645,0.017847376127497344,0.006515649150781676
2,10 min,10,4,17579,-0.20119769416851202,0.012117944571094325,0.005949211564190051
2,10 min,10,5,16162,-0.08773408283391039,-0.0040932436776896074,0.006140922797632308
2,10 min,10,6,17365,0.006099338794671679,-0.006174374597064857,0.0060618726429310125
2,10 min,10,7,17697,0.11069460813510337,0.005402199804084732,0.006309421257045535
2,10 min,10,8,18708,0.235253013061537,-0.0013969633914104095,0.005703476586138394
2,10 min,10,9,16685,0.39186179879081184,-0.011836803868407719,0.008072541872297263
2,10 min,10,10,15888,0.6138106132113879,-0.005939966652762298,0.007792863142242694
2,10 min,10,11,17120,1.3281802948388046,-0.02174343139045501,0.010008875845992459
3,15 min,15,1,11762,-1.37350028382891,-0.01954757955770324,0.013760023810675032
3,15 min,15,2,11786,-0.6039246346078176,0.005267693324344375,0.00904635479923071
3,15 min,15,3,12082,-0.35709885139758896,0.014110465143512455,0.00814360555225382
3,15 min,15,4,11706,-0.20091087241221053,0.009044110608197946,0.00715817855561401
3,15 min,15,5,11253,-0.08211939874484449,-0.0048948562499386275,0.008092464343218954
3,15 min,15,6,11521,0.01470769740697898,0.018037742102898702,0.008023072338097183
3,15 min,15,7,10899,0.11197234006199876,-0.006808298221833913,0.007298143901605671
3,15 min,15,8,11920,0.2308895172439023,0.00551500716610194,0.007612576766062187
3,15 min,15,9,11619,0.39058751206182796,0.01949465263663915,0.008046543906152425
3,15 min,15,10,11007,0.6299716036815999,-0.007524361138251916,0.00954198136542099
3,15 min,15,11,11264,1.3832238524096718,-0.01901425948377903,0.011610777281069446
6,30 min,30,1,5793,-1.4855694195021114,-0.028111774191655933,0.01566373944828792
6,30 min,30,2,5742,-0.6409892561171238,0.0010458429238917072,0.012656804539749603
6,30 min,30,3,5880,-0.37772637965915273,-0.00259168000929067,0.013912888002750973
6,30 min,30,4,5939,-0.21322254186897713,0.01349289554124758,0.010689728048873606
6,30 min,30,5,5814,-0.0884510363738194,0.004290756368544065,0.013071230002734534
6,30 min,30,6,6217,0.020713981436457876,-0.002693544636062914,0.011407611370801908
6,30 min,30,7,5278,0.1259434375058337,0.006712524629557018,0.012091101560210428
6,30 min,30,8,5613,0.2425212148212601,0.0063080671428270485,0.011614868633218915
6,30 min,30,9,5843,0.4025265013173679,-0.002261819437992538,0.011773429834891524
6,30 min,30,10,5585,0.6576014331341066,0.02708146930607046,0.013975911622561472
6,30 min,30,11,5709,1.45973436722208,-0.00643197623427317,0.016011467101817032
12,1.0 hr,60,1,2937,-1.564346522486261,0.021093720170913283,0.02062182752443312
12,1.0 hr,60,2,2854,-0.6928182109126696,-0.02388054774351483,0.020227677911264015
12,1.0 hr,60,3,2988,-0.40606480385168625,0.01046605981258665,0.017096682560341286
12,1.0 hr,60,4,2770,-0.2286159134759101,0.0015312776650447848,0.018192460009246424
12,1.0 hr,60,5,2885,-0.09952305106780679,-0.020288242434134057,0.015673866039328823
12,1.0 hr,60,6,3111,0.019879728411596406,0.03305957785261811,0.015455573212669618
12,1.0 hr,60,7,2793,0.13760545406189054,0.0539317578657124,0.015666181374339814
12,1.0 hr,60,8,2751,0.26706672021702726,-0.005703200249637339,0.01860655940537463
12,1.0 hr,60,9,2981,0.439214431785997,0.004457372921598399,0.016514993883816612
12,1.0 hr,60,10,2760,0.711456690966224,-0.003585926802562734,0.017920023673860766
12,1.0 hr,60,11,2874,1.5283095859217386,-0.01671590262677695,0.024552385629101784
24,2.0 hr,120,1,1443,-1.629493706060411,-0.015097686754637048,0.031178475242642542
24,2.0 hr,120,2,1445,-0.766529458718503,-0.025454709979504622,0.027367103469563666
24,2.0 hr,120,3,1459,-0.4556408358589118,0.015843608416002908,0.025588620937768175
24,2.0 hr,120,4,1476,-0.26219570139959114,0.048111453505964984,0.023121184427161157
24,2.0 hr,120,5,1389,-0.10972240956252347,0.003821914237740982,0.022797069160115653
24,2.0 hr,120,6,1442,0.018189770817454393,0.05339964870647568,0.025048212689385896
24,2.0 hr,120,7,1442,0.15018932367865936,0.0007047973853424187,0.024593944100461736
24,2.0 hr,120,8,1433,0.2983795430633026,0.005379538630089027,0.023857231665781953
24,2.0 hr,120,9,1472,0.49230098384896787,-0.017495873831081782,0.022937234198254844
24,2.0 hr,120,10,1417,0.7883067055940178,0.019288964349239702,0.02677594412617294
24,2.0 hr,120,11,1432,1.574776202040669,-0.03134089586751371,0.0316585546633253
48,4.0 hr,240,1,721,-1.682467875876716,-0.02298961645985662,0.045559203112939636
48,4.0 hr,240,2,722,-0.8478377135917277,-0.026350972670619463,0.03706743901439988
48,4.0 hr,240,3,731,-0.5184415065248713,0.011676944923263223,0.03640057451727474
48,4.0 hr,240,4,707,-0.29534158893604817,-0.03586909506589735,0.035802894260599745
48,4.0 hr,240,5,722,-0.12565569771458382,0.012681539822331356,0.030795497254275352
48,4.0 hr,240,6,748,0.03278361824102328,0.03994564170120249,0.03157512362344686
48,4.0 hr,240,7,716,0.19161141457444958,0.043485049781362854,0.0311818864767953
48,4.0 hr,240,8,708,0.3610861546198495,0.07082654277729156,0.032732639411862954
48,4.0 hr,240,9,711,0.5593365375791831,0.009573796787166957,0.034273886683437706
48,4.0 hr,240,10,716,0.8489762980969897,0.0002706987660692037,0.03294163836283577
48,4.0 hr,240,11,721,1.6031547743762933,-0.006548492246984634,0.04633051375054416
96,8.0 hr,480,1,361,-1.716939176858103,0.020559973237479382,0.06958598251411742
96,8.0 hr,480,2,362,-0.8701639084358999,0.006271560247220563,0.0531539369029817
96,8.0 hr,480,3,363,-0.5320049665497956,-0.020792484845372772,0.05013272631615809
96,8.0 hr,480,4,355,-0.3065249701821446,0.029147466947457037,0.0453006340253246
96,8.0 hr,480,5,366,-0.12932399125644112,0.04087133172303743,0.05143437894963853
96,8.0 hr,480,6,354,0.045370946425063736,-0.010652845388963314,0.04632369595039606
96,8.0 hr,480,7,359,0.20378077439512707,0.053145661117893775,0.039903806999392596
96,8.0 hr,480,8,363,0.38154134519586036,0.05341699107419383,0.04141254549868851
96,8.0 hr,480,9,361,0.5916283475358527,-0.027680375733694758,0.04734087464209496
96,8.0 hr,480,10,359,0.883896258592337,-0.002933956692149047,0.055353926321028875
96,8.0 hr,480,11,357,1.5985170424905044,-0.04784834931666084,0.06046227792649627
192,16.0 hr,960,1,180,-1.782439524605574,0.1072882744080906,0.10310090402550681
192,16.0 hr,960,2,180,-0.8796643087864655,-0.019648598862958166,0.07547149065732212
192,16.0 hr,960,3,180,-0.5676237849936725,0.07452618335245366,0.07845557626614033
192,16.0 hr,960,4,182,-0.3233572302347759,0.034242608271602526,0.0697911921188129
192,16.0 hr,960,5,178,-0.11527735599794225,0.046609864896662245,0.0611578050213597
192,16.0 hr,960,6,180,0.044858530223471506,-0.013719396122373596,0.0518045092627007
192,16.0 hr,960,7,180,0.21598311151011554,0.07342257262336672,0.06970143565624776
192,16.0 hr,960,8,180,0.4132048406257549,-0.04317065499075057,0.059767397946883544
192,16.0 hr,960,9,180,0.6410679970430996,-0.027979777896261007,0.06910835090613607
192,16.0 hr,960,10,180,0.9311877822365795,-0.027438792244747746,0.06621330012571004
192,16.0 hr,960,11,180,1.592510282072332,-0.03566177414774781,0.09491308727951332
