base_bars,base_label,q_multiple,horizon_bars,horizon_label,horizon_minutes,variance_ratio,vr_curve_change,vr_signal
1,5 min,1,1,5 min,5,1.0,,baseline
1,5 min,2,2,10 min,10,0.9959531591135455,-0.004046840886454461,no clear
1,5 min,3,3,15 min,15,0.9922290070247543,-0.0037241520887912882,no clear
1,5 min,4,4,20 min,20,0.9919581006858569,-0.0002709063388973698,no clear
1,5 min,6,6,30 min,30,0.990513594771067,-0.0014445059147898398,no clear
1,5 min,8,8,40 min,40,0.9886669071426067,-0.0018466876284602973,no clear
1,5 min,12,12,1.0 hr,60,0.986143632897545,-0.002523274245061713,no clear
1,5 min,16,16,1.3 hr,80,0.9841439428141672,-0.0019996900833778586,no clear
1,5 min,24,24,2.0 hr,120,0.9724763008293048,-0.011667641984862365,mean-reverting
1,5 min,32,32,2.7 hr,160,0.963799157529558,-0.008677143299746781,no clear
1,5 min,48,48,4.0 hr,240,0.959331392796895,-0.004467764732662971,no clear
1,5 min,64,64,5.3 hr,320,0.9631083531240217,0.0037769603271265995,no clear
1,5 min,96,96,8.0 hr,480,0.964251128954126,0.001142775830104359,no clear
1,5 min,192,192,16.0 hr,960,0.9427615239703073,-0.02148960498381869,mean-reverting
