segment,train_start,train_end,oos_start,oos_end,best_L,best_S,oos_return,oos_max_dd,oos_return_to_dd,oos_sharpe,oos_trades,oos_n_trades_roundturn,oos_win_rate_trades,oos_avg_winner,oos_avg_loser,oos_profit_factor
0,2017-12-18 00:35:00,2021-11-19 15:15:00,2021-11-19 15:20:00,2022-02-18 00:00:00,500,0.01,238746.25000000012,-62306.250000000175,3.8318186377771,3.303741447053762,126.0,126.0,0.4444444444444444,8670.35714285715,-5853.125000000005,1.1850568225154452
1,2018-03-19 08:35:00,2022-02-18 00:00:00,2022-02-18 00:05:00,2022-05-19 00:00:00,500,0.01,339389.99999999936,-85323.75000000052,3.9776732738539655,4.857212275346668,127.0,127.0,0.33858267716535434,11776.104651162796,-5382.678571428582,1.119933870771543
2,2018-06-15 12:35:00,2022-05-19 00:00:00,2022-05-19 00:05:00,2022-08-16 00:00:00,500,0.01,124277.49999999983,-42467.50000000009,2.9264143168305075,2.984492425294594,134.0,134.0,0.35074626865671643,5843.989361702125,-2945.0000000000005,1.0720195929200078
3,2018-09-13 01:20:00,2022-08-16 00:00:00,2022-08-16 00:05:00,2022-11-11 00:00:00,500,0.01,70038.75000000041,-67925.0,1.0311188811188872,1.4440042144604972,108.0,106.0,0.3867924528301887,5321.707317073175,-3316.1730769230726,1.0122418682331948
4,2018-12-11 09:05:00,2022-11-11 00:00:00,2022-11-11 00:05:00,2023-02-10 03:15:00,500,0.01,127801.24999999994,-19267.50000000003,6.632995977682613,4.395329118181893,78.0,78.0,0.3717948717948718,7247.198275862076,-2127.908163265311,2.015668832570069
5,2019-03-12 21:50:00,2023-02-10 03:15:00,2023-02-10 03:20:00,2023-05-10 09:00:00,500,0.01,198981.24999999965,-44176.25,4.504258509945947,5.271675218633813,92.5,92.0,0.42391304347826086,8383.782051282042,-3017.900943396226,2.0442016583436864
6,2019-06-11 01:50:00,2023-05-10 09:00:00,2023-05-10 09:05:00,2023-08-07 09:00:00,500,0.01,93439.99999999983,-63663.749999999854,1.4677112171369113,2.777627314763262,73.0,73.0,0.3698630136986301,7485.6018518518495,-3399.6467391304373,1.2924057007201821
7,2019-09-06 13:35:00,2023-08-07 09:00:00,2023-08-07 09:05:00,2023-11-02 09:00:00,500,0.01,162756.25000000017,-39375.000000000146,4.133492063492053,3.670363979145312,75.0,75.0,0.4,10065.000000000005,-4083.472222222222,1.6432094146457612
8,2019-12-04 22:20:00,2023-11-02 09:00:00,2023-11-02 09:05:00,2024-02-01 12:15:00,500,0.01,256438.74999999965,-41532.50000000006,6.174411605369272,4.3263409862902,86.0,86.0,0.43023255813953487,12657.094594594588,-5682.117346938777,1.6820134776577058
9,2020-03-05 10:05:00,2024-02-01 12:15:00,2024-02-01 12:20:00,2024-05-01 12:15:00,500,0.01,52023.7500000007,-195293.74999999965,0.26638717316862826,0.5319991830718156,137.0,137.0,0.30656934306569344,18727.08333333332,-8874.223684210516,0.9329652260168056
10,2020-06-03 14:05:00,2024-05-01 12:15:00,2024-05-01 12:20:00,2024-07-29 12:15:00,500,0.01,162228.74999999907,-142301.25000000081,1.140037420612947,1.76986257947259,99.0,99.0,0.37373737373737376,15665.270270270255,-8903.810483870975,1.049958222852211
11,2020-08-31 19:05:00,2024-07-29 12:15:00,2024-07-29 12:20:00,2024-10-24 12:15:00,500,0.01,381437.4999999998,-104698.74999999994,3.643190582504567,3.8522982589698502,90.5,90.0,0.4,18299.062499999993,-8640.115740740739,1.411945784762614
12,2020-11-27 03:05:00,2024-10-24 12:15:00,2024-10-24 12:20:00,2025-01-23 18:45:00,500,0.01,406256.2499999991,-128177.49999999948,3.169481773322157,2.915295193735628,115.0,115.0,0.3739130434782609,22849.53488372092,-12155.711805555562,1.1226203959329808
13,2021-02-28 19:35:00,2025-01-23 18:45:00,2025-01-23 18:50:00,2025-04-23 18:45:00,500,0.01,397622.4999999995,-175726.2499999997,2.2627382078659286,2.3229999691438405,108.0,108.0,0.3425925925925926,23411.216216216224,-11489.330985915505,1.0618730788208282
14,2021-05-27 03:20:00,2025-04-23 18:45:00,2025-04-23 18:50:00,2025-07-21 22:45:00,500,0.01,89893.75000000108,-344272.49999999953,0.2611122003645403,0.7468512487094512,73.0,73.0,0.3698630136986301,27872.50000000002,-16809.80978260868,0.9732379999385724
15,2021-08-24 11:20:00,2025-07-21 22:45:00,2025-07-21 22:50:00,2025-10-16 22:45:00,1000,0.01,23171.25000000048,-303227.5000000002,0.0764153976799613,0.20474806650980323,53.0,53.0,0.39622641509433965,26772.14285714288,-17023.6328125,1.0320487373940188
16,2021-11-19 15:20:00,2025-10-16 22:45:00,2025-10-16 22:50:00,2026-01-16 04:15:00,1000,0.01,190426.25000000006,-104379.99999999959,1.8243557194864994,1.8816125250159705,60.0,60.0,0.35,27076.369047619046,-12940.448717948719,1.126667525300811
