L,S,return,max_dd,return_to_dd,sharpe,trades,win_rate,avg_trade_return
500,0.005,482107.5,-5607.25,85.979312,2.6197666,4245,0.055855488,113.57067
500,0.01,473085.2,-15571.9,30.380699,2.152025,2310,0.10743115,204.79879
500,0.015,419625.2,-15066.6,27.851353,1.6600262,1615,0.15437579,259.82985
500,0.02,381839.6,-22315.4,17.111035,1.345625,1255,0.19836376,304.25466
500,0.025,346271,-22038.25,15.712273,1.1081395,1036,0.23509073,334.23842
1000,0.005,337517.05,-6806.85,49.584911,2.1700866,3054,0.039302487,110.51639
1000,0.01,331354,-17100.4,19.376974,1.78139,1665,0.077058575,199.01141
1000,0.015,295675.7,-21375.3,13.832587,1.3852578,1163,0.11097045,254.23534
1000,0.02,279955.6,-30596,9.1500719,1.1680477,894,0.14296566,313.14944
1000,0.025,273649.5,-36247,7.5495765,1.0263171,728,0.17101591,375.89217
1500,0.005,290484.95,-8436.85,34.430498,2.0235501,2611,0.033013436,111.25429
1500,0.01,293455.9,-18730.4,15.667359,1.7094856,1413,0.064521311,207.68287
1500,0.015,264736.55,-21349.8,12.399955,1.3469791,986,0.092816597,268.49549
1500,0.02,259085.8,-19856.2,13.048106,1.1732373,755,0.11953281,343.16
1500,0.025,270972,-18426.5,14.70556,1.1079633,610,0.14285948,444.21639
2000,0.005,264553,-7682.7,34.434899,1.9238764,2286,0.02866555,115.72747
2000,0.01,263738.5,-17371.9,15.181903,1.6100925,1241,0.056340099,212.52095
2000,0.015,235033.7,-18186.35,12.923632,1.2576816,873,0.081850233,269.22532
2000,0.02,235108.4,-20251.8,11.609259,1.1241489,664,0.10511428,354.07892
2000,0.025,252717,-20869.25,12.109539,1.0899906,532,0.12621663,475.03195
2500,0.005,244680.35,-5395.75,45.346866,1.8474198,2072,0.02577422,118.08897
2500,0.01,245470.6,-14092.5,17.418528,1.5631832,1126,0.050402254,218.00231
2500,0.015,218924.5,-20372.2,10.746238,1.2286488,792,0.072057282,276.41982
2500,0.02,221672.2,-15584,14.224345,1.1146149,602,0.093146023,368.22625
2500,0.025,226031.75,-14237.5,15.875803,1.0314601,486,0.1116293,465.08591
3000,0.005,232952.2,-5277.5,44.140635,1.7928629,1930,0.023933788,120.70062
3000,0.01,232010.4,-14507.2,15.992776,1.5123547,1052,0.046705054,220.54221
3000,0.015,211026.05,-21064.2,10.018232,1.2145976,736,0.066800071,286.72018
3000,0.02,214792.4,-16124,13.321285,1.1089351,559,0.086424089,384.24401
3000,0.025,226241,-11969.5,18.901458,1.0620839,448,0.10311049,505.00223
