segment,entry_bar_global,exit_bar_global,entry_time,exit_time,direction_closed,pnl_usd
0,66560,66604,2007-07-24 14:45:00,2007-07-24 18:25:00,short,-702.4999999999563
0,66618,66649,2007-07-25 14:05:00,2007-07-25 16:40:00,short,-96.30000000001746
0,67144,67224,2007-08-03 19:25:00,2007-08-07 15:05:00,short,3380.600000000006
0,67344,67362,2007-08-09 14:05:00,2007-08-09 15:35:00,short,-396.50000000001455
0,67410,67428,2007-08-10 14:05:00,2007-08-10 15:35:00,short,-523.4999999999854
0,67860,67870,2007-08-20 18:35:00,2007-08-20 19:25:00,short,-653.2999999999884
0,67899,67934,2007-08-21 16:20:00,2007-08-21 19:15:00,short,104.60000000006403
0,68198,68224,2007-08-27 19:15:00,2007-08-28 15:55:00,long,-633.9000000000233
0,68246,68391,2007-08-28 17:45:00,2007-08-30 18:50:00,long,572.8999999999505
0,68400,68436,2007-08-31 14:05:00,2007-08-31 17:05:00,long,-524.9000000000087
0,68466,68672,2007-09-03 14:05:00,2007-09-06 15:45:00,long,1599.0000000000437
0,68915,68987,2007-09-11 19:30:00,2007-09-13 14:30:00,long,772.2999999999593
0,69215,69279,2007-09-18 17:00:00,2007-09-19 16:50:00,long,221.09999999999127
0,69311,69402,2007-09-19 19:30:00,2007-09-21 16:05:00,long,616.6000000000204
0,69704,69745,2007-09-27 19:15:00,2007-09-28 17:10:00,long,225.49999999995634
0,69866,69898,2007-10-02 16:15:00,2007-10-02 18:55:00,short,-747.0999999999622
0,70162,70181,2007-10-08 18:55:00,2007-10-09 15:00:00,short,-674.800000000032
0,70320,70370,2007-10-11 15:35:00,2007-10-12 14:15:00,long,522.8000000000611
0,70402,70554,2007-10-12 16:55:00,2007-10-16 18:35:00,long,2677.9000000000233
0,70573,70584,2007-10-17 14:40:00,2007-10-17 15:35:00,long,-793.0000000000146
0,70590,70610,2007-10-17 16:05:00,2007-10-17 17:45:00,long,-648.2999999999738
1,70694,70701,2007-10-18 19:15:00,2007-10-19 14:20:00,long,-431.1999999999971
1,70962,71068,2007-10-25 14:05:00,2007-10-26 17:25:00,long,2359.1000000000204
1,71093,71160,2007-10-26 19:30:00,2007-10-30 14:05:00,long,821.1000000000931
