segment,train_start,train_end,oos_start,oos_end,best_L,best_S,oos_return,oos_max_dd,oos_return_to_dd,oos_sharpe,oos_trades,oos_n_trades_roundturn,oos_win_rate_trades,oos_avg_winner,oos_avg_loser,oos_profit_factor
0,2003-08-01 14:05:00,2007-07-23 17:30:00,2007-07-23 17:35:00,2007-10-18 18:30:00,500,0.01,5945.200000000055,-2962.599999999933,2.0067508269763685,2.733204415273486,21.0,21.0,0.47619047619047616,1069.3300000000077,-581.2818181818161,1.672369840947141
1,2003-10-30 14:05:00,2007-10-18 18:30:00,2007-10-18 18:35:00,2008-01-17 19:30:00,500,0.01,4927.900000000227,-3679.4999999999127,1.339285228971421,1.7799088104425678,27.0,27.0,0.4444444444444444,927.9500000000153,-561.9666666666657,1.3210036182454716
2,2004-02-03 18:35:00,2008-01-17 19:30:00,2008-01-18 14:05:00,2008-04-17 19:30:00,500,0.01,-4242.899999999849,-9400.19999999988,-0.451362736963033,-1.373113852477884,32.0,32.0,0.25,779.3125000000036,-550.8083333333276,0.4716174712921989
3,2004-05-04 16:35:00,2008-04-17 19:30:00,2008-04-18 14:05:00,2008-07-16 19:30:00,500,0.01,7888.89999999998,-6816.299999999959,1.1573580975015811,2.0139982259022164,30.0,30.0,0.36666666666666664,1640.5090909090902,-669.8263157894704,1.4179323783856048
4,2004-07-30 18:05:00,2008-07-16 19:30:00,2008-07-17 14:05:00,2008-10-14 15:30:00,500,0.01,4415.59999999986,-11452.700000000099,0.38555100543974974,0.8185979708525729,63.0,63.0,0.3492063492063492,532.2363636363622,-571.0146341463424,0.5001452271523497
5,2004-10-28 14:05:00,2008-10-14 15:30:00,2008-10-14 15:35:00,2009-01-15 15:30:00,500,0.03,12149.899999999892,-10969.899999999994,1.1075670698912385,2.4297099692920323,26.0,26.0,0.3076923076923077,2287.899999999985,-826.0722222222216,1.2309389144075307
6,2005-02-01 15:35:00,2009-01-15 15:30:00,2009-01-15 15:35:00,2009-04-16 15:30:00,1000,0.03,4201.099999999991,-2755.9000000000087,1.5244021916615182,1.8138119472559593,5.0,5.0,0.4,3106.5,-727.3000000000029,2.8475182180668113
7,2005-05-04 16:05:00,2009-04-16 15:30:00,2009-04-16 15:35:00,2009-07-16 15:30:00,1000,0.03,5046.399999999921,-4863.400000000023,1.0376279968745934,1.3273217971887488,10.0,10.0,0.4,2649.2249999999985,-1228.4166666666788,1.4377450647852776
8,2005-08-01 17:35:00,2009-07-16 15:30:00,2009-07-16 15:35:00,2009-10-13 15:30:00,1000,0.03,895.4000000001397,-4136.999999999942,0.21643703166549488,0.3200549795874674,5.5,5.0,0.4,1723.8500000000422,-749.4333333332955,1.533469732687034
9,2005-10-28 17:35:00,2009-10-13 15:30:00,2009-10-13 15:35:00,2010-01-15 14:30:00,1000,0.03,5040.999999999942,-6456.1000000000495,0.7808119452920343,1.6567974677208177,5.0,5.0,0.6,2977.766666666624,-1941.149999999965,2.30103289287279
