L,S,return,max_dd,return_to_dd,sharpe,trades
500,0.005,346267.5,-8454.2,40.958045,1.8765676,4245
1000,0.005,239789.05,-8246.85,29.076441,1.5375583,3054
500,0.01,399165.2,-16819.9,23.731723,1.8125365,2310
500,0.015,367945.2,-15923.3,23.107346,1.4535905,1615
1500,0.005,206932.95,-10226.9,20.234181,1.4375503,2611
3000,0.025,211905,-12401.5,17.087046,0.99411983,448
2000,0.005,191401,-12599.95,15.190616,1.3884593,2286
1000,0.01,278074,-18588.4,14.959545,1.4924149,1665
3000,0.005,171192.2,-11510.4,14.872828,1.3148678,1930
500,0.02,341679.6,-23051.4,14.82251,1.2027434,1255
2500,0.005,178376.35,-12505.1,14.264288,1.3437858,2072
2500,0.025,210479.75,-14765.5,14.254834,0.95977178,486
500,0.025,313087,-23062.25,13.575735,1.0009544,1036
1500,0.025,251452,-19370.5,12.981183,1.0272865,610
2500,0.02,202408.2,-15904,12.726874,1.0168773,602
1500,0.01,248239.9,-20218.4,12.27792,1.4436351,1413
3000,0.02,196904.4,-16444,11.97424,1.0158002,559
2500,0.01,209438.6,-18236.5,11.484583,1.3316805,1126
2000,0.01,224026.5,-20029.4,11.184883,1.3654694,1241
3000,0.01,198346.4,-17920.5,11.068129,1.2910915,1052
1000,0.015,258459.7,-23375.3,11.056958,1.2093025,1163
2000,0.025,235693,-21717.25,10.852801,1.0157696,532
2000,0.02,213860.4,-20731.8,10.315573,1.0216355,664
1500,0.02,234925.8,-24368.2,9.640671,1.0628003,755
2000,0.015,207097.7,-22040.95,9.3960424,1.1068425,873
1500,0.015,233184.55,-27365.8,8.5210208,1.1849057,986
2500,0.015,193580.5,-24468.2,7.9115137,1.0851284,792
1000,0.02,251347.6,-32212,7.8029182,1.0476224,894
3000,0.015,187474.05,-24872.2,7.5374937,1.0778741,736
1000,0.025,250321.5,-37591,6.6590806,0.93793794,728
