L,S,return,max_dd,return_to_dd,sharpe,trades,win_rate,avg_trade_return
500,0.005,1602088.1,-87503.25,18.308899,2.0148935,5797,0.025071717,276.36504
500,0.01,1179288.2,-121630.5,9.6956623,1.2208637,3446.5,0.057645592,342.16981
500,0.015,1072935.9,-144328.87,7.4339655,0.94239291,2451.5,0.10238998,437.66505
500,0.02,989910,-132201.5,7.4878878,0.76979768,1901.5,0.14734538,520.59427
500,0.025,873728.75,-138240,6.3203758,0.61934571,1560.5,0.18687907,559.90308
1000,0.005,1146782.5,-68549.75,16.7292,1.7061249,3988,0.0162477,287.5583
1000,0.01,872125.75,-62567.25,13.939014,1.0763585,2406.5,0.035618684,362.40422
1000,0.015,787422,-74104.875,10.625779,0.83074078,1722.5,0.06375788,457.13904
1000,0.02,745550,-79530.5,9.374391,0.69482275,1340.5,0.094793656,556.17307
1000,0.025,645735.63,-108013.75,5.9782724,0.5497722,1092.5,0.12153775,591.06236
1500,0.005,905279.75,-59778.875,15.143807,1.5338096,3263,0.012970956,277.43786
1500,0.01,695560,-56796.25,12.246583,0.96524202,1978.5,0.028151403,351.55926
1500,0.015,682058.63,-67578,10.092909,0.80247719,1404.5,0.050155641,485.6238
1500,0.02,627458,-88292.5,7.1065832,0.65367538,1092.5,0.073943865,574.33227
1500,0.025,565958.13,-106271.25,5.3255996,0.53684305,886.5,0.094845972,638.41864
2000,0.005,818127.13,-51585.375,15.859672,1.4576924,2834,0.011019558,288.68282
2000,0.01,608197,-64092.75,9.489326,0.89463016,1728.5,0.023523154,351.86404
2000,0.015,573777.75,-79621.625,7.2063054,0.71583271,1238.5,0.042191356,463.28442
2000,0.02,537083,-94615,5.6765101,0.59603385,965.5,0.062383705,556.27447
2000,0.025,471886.88,-107548.12,4.3876811,0.47759149,787.5,0.080303783,599.22143
2500,0.005,711883.38,-56254,12.654805,1.3191256,2551,0.0097639663,279.06052
2500,0.01,513482.75,-63425.25,8.0958727,0.78581759,1557.5,0.020903851,329.68395
2500,0.015,459731.75,-86294.125,5.3274977,0.59731293,1125.5,0.036649315,408.4689
2500,0.02,418779.5,-115565,3.6237572,0.48352439,879.5,0.054002633,476.15634
2500,0.025,370990,-103269.37,3.5924494,0.38986807,715.5,0.070201505,518.50454
3000,0.005,672191.63,-48767.5,13.783598,1.2968345,2334,0.0088711013,287.99984
3000,0.01,497773.25,-51725,9.6234558,0.79436475,1426.5,0.018921063,348.94725
3000,0.015,466652.88,-69475,6.716846,0.63747052,1030.5,0.032824993,452.84122
3000,0.02,475356,-84670,5.6142199,0.57953489,801.5,0.047499717,593.08297
3000,0.025,421734.38,-94786.875,4.4492908,0.46805347,656.5,0.061511767,642.39813
