segment,entry_bar_global,exit_bar_global,entry_time,exit_time,direction_closed,pnl_usd
0,66560,66664,2007-07-24 14:45:00,2007-07-25 17:55:00,short,-834.5999999999913
0,67144,67274,2007-08-03 19:25:00,2007-08-07 19:15:00,short,2659.200000000026
0,67344,67376,2007-08-09 14:05:00,2007-08-09 16:45:00,short,-1105.0000000000146
0,67410,67461,2007-08-10 14:05:00,2007-08-10 18:20:00,short,-1228.999999999971
0,67860,67883,2007-08-20 18:35:00,2007-08-21 15:00:00,short,-1358.6000000000204
0,67899,68004,2007-08-21 16:20:00,2007-08-23 14:05:00,short,-592.7999999999738
0,68198,68701,2007-08-27 19:15:00,2007-09-06 18:10:00,long,3256.0000000000146
0,68915,69115,2007-09-11 19:30:00,2007-09-17 14:10:00,long,-17.400000000052387
0,69215,69454,2007-09-18 17:00:00,2007-09-24 14:55:00,long,841.2000000000262
0,69704,69747,2007-09-27 19:15:00,2007-09-28 17:20:00,long,-601.0000000000437
0,69866,70008,2007-10-02 16:15:00,2007-10-04 17:05:00,short,-1526.199999999997
0,70162,70195,2007-10-08 18:55:00,2007-10-09 16:10:00,short,-1451.6000000000058
1,70694,70701,2007-10-18 19:15:00,2007-10-19 14:20:00,long,-447.1999999999971
1,70962,71068,2007-10-25 14:05:00,2007-10-26 17:25:00,long,2343.1000000000204
1,71093,71160,2007-10-26 19:30:00,2007-10-30 14:05:00,long,805.1000000000931
1,71248,71252,2007-10-31 15:55:00,2007-10-31 16:15:00,long,-557.4000000000087
1,71270,71277,2007-10-31 17:45:00,2007-10-31 18:20:00,long,-499.3999999999942
1,71359,71424,2007-11-02 14:10:00,2007-11-05 14:05:00,long,447.8999999999796
1,71462,71482,2007-11-05 17:15:00,2007-11-05 18:55:00,long,-873.0999999999767
1,71490,71573,2007-11-06 14:05:00,2007-11-07 15:30:00,long,1086.6000000000204
1,71574,71577,2007-11-07 15:35:00,2007-11-07 15:50:00,long,-546.2000000000116
1,71624,71655,2007-11-08 14:15:00,2007-11-08 16:50:00,long,-647.5999999999913
1,71848,71862,2007-11-13 16:25:00,2007-11-13 17:35:00,short,84.7000000000262
1,71878,71883,2007-11-13 18:55:00,2007-11-13 19:20:00,short,-754.1000000000058
1,72164,72228,2007-11-20 15:15:00,2007-11-21 15:05:00,long,989.2999999999884
1,72234,72241,2007-11-21 15:35:00,2007-11-21 16:10:00,long,-820.8000000000175
1,72560,72600,2007-11-28 16:15:00,2007-11-29 14:05:00,short,94.40000000000873
1,72666,72714,2007-11-30 14:05:00,2007-11-30 18:05:00,short,-701.199999999968
1,72731,72764,2007-11-30 19:30:00,2007-12-03 16:45:00,short,-20.89999999999418
1,72930,72935,2007-12-06 14:05:00,2007-12-06 14:30:00,short,-700.0000000000291
1,73213,73260,2007-12-12 15:40:00,2007-12-13 14:05:00,long,1180.4999999999854
1,73788,73817,2007-12-26 14:05:00,2007-12-26 16:30:00,long,349.4000000000233
1,73875,73915,2007-12-27 15:50:00,2007-12-27 19:10:00,long,-368.69999999998254
1,74052,74162,2008-01-02 14:05:00,2008-01-03 17:45:00,long,1335.1999999999825
1,74448,74490,2008-01-10 14:05:00,2008-01-10 17:35:00,short,-362.5000000000291
1,74510,74536,2008-01-10 19:15:00,2008-01-11 15:55:00,short,480.0
1,74572,74580,2008-01-11 18:55:00,2008-01-14 14:05:00,short,-628.2999999999884
1,74653,74773,2008-01-15 14:40:00,2008-01-16 19:10:00,short,1747.2000000000553
1,74816,74828,2008-01-17 17:15:00,2008-01-17 18:15:00,short,-742.0999999999913
2,74910,74986,2008-01-21 14:05:00,2008-01-22 14:55:00,short,879.3000000000029
2,75180,75220,2008-01-25 14:35:00,2008-01-25 17:55:00,long,-463.99999999992724
2,75285,75390,2008-01-28 17:50:00,2008-01-30 15:35:00,long,185.20000000001164
2,75398,75404,2008-01-30 16:15:00,2008-01-30 16:45:00,long,-785.1999999999971
2,75437,75438,2008-01-30 19:30:00,2008-01-31 14:05:00,long,-915.8999999999942
