segment,entry_bar_global,exit_bar_global,entry_time,exit_time,direction_closed,pnl_usd
0,278392,278394,2021-11-22 07:40:00,2021-11-22 07:50:00,long,-137.24999999998545
0,278481,278487,2021-11-22 15:05:00,2021-11-22 15:35:00,short,-1059.2499999999854
0,278620,278621,2021-11-23 03:40:00,2021-11-23 03:45:00,short,1151.25
0,279063,279085,2021-11-24 18:35:00,2021-11-24 20:25:00,long,657.7500000000146
0,279179,279282,2021-11-25 04:15:00,2021-11-25 17:50:00,long,2624.5000000000146
0,279385,279387,2021-11-26 02:25:00,2021-11-26 02:35:00,short,-1269.0000000000146
0,279388,279389,2021-11-26 02:40:00,2021-11-26 02:45:00,short,332.00000000001455
0,279390,279392,2021-11-26 02:50:00,2021-11-26 03:00:00,short,-2154.0000000000146
0,279416,279420,2021-11-26 05:00:00,2021-11-26 05:20:00,short,-583.2500000000146
0,279425,279432,2021-11-26 05:45:00,2021-11-26 06:20:00,short,415.0
0,279974,279979,2021-11-30 09:15:00,2021-11-30 09:40:00,long,-1414.0000000000146
0,280381,280390,2021-12-01 21:10:00,2021-12-01 21:55:00,short,-754.5000000000146
0,280809,280815,2021-12-03 09:50:00,2021-12-03 10:20:00,short,1092.0
0,280823,280828,2021-12-03 11:00:00,2021-12-03 11:25:00,short,-733.4999999999854
0,280845,280846,2021-12-03 12:50:00,2021-12-03 12:55:00,short,280.25000000001455
0,280853,280861,2021-12-03 13:30:00,2021-12-03 14:10:00,short,1645.5
0,280862,280864,2021-12-03 14:15:00,2021-12-03 14:25:00,short,6415.75
0,280884,280886,2021-12-05 17:05:00,2021-12-05 17:15:00,short,-1856.5000000000146
0,280898,280908,2021-12-05 18:15:00,2021-12-05 19:05:00,short,-225.99999999998545
0,280915,280918,2021-12-05 19:40:00,2021-12-05 19:55:00,short,-1769.0000000000146
0,280978,280989,2021-12-06 00:55:00,2021-12-06 01:50:00,short,-546.7499999999854
0,281011,281017,2021-12-06 03:40:00,2021-12-06 04:10:00,short,-715.75
0,281596,281598,2021-12-08 06:25:00,2021-12-08 06:35:00,short,-1712.2499999999854
0,281901,281913,2021-12-09 08:50:00,2021-12-09 09:50:00,short,564.2499999999854
0,281944,281953,2021-12-09 12:25:00,2021-12-09 13:10:00,short,869.7499999999854
0,281965,281979,2021-12-09 14:10:00,2021-12-09 15:20:00,short,-1622.2499999999854
0,282211,282215,2021-12-10 11:40:00,2021-12-10 12:00:00,short,-2371.25
0,282264,282281,2021-12-12 17:05:00,2021-12-12 18:30:00,long,-1454.0000000000146
0,282461,282469,2021-12-13 09:30:00,2021-12-13 10:10:00,short,625.0
0,282472,282474,2021-12-13 10:25:00,2021-12-13 10:35:00,short,-1287.5
0,282509,282511,2021-12-13 13:30:00,2021-12-13 13:40:00,short,1635.0
0,283057,283059,2021-12-15 13:10:00,2021-12-15 13:20:00,long,-2220.0
0,283071,283082,2021-12-15 14:20:00,2021-12-15 15:15:00,long,-135.25000000001455
0,283548,283565,2021-12-17 08:05:00,2021-12-17 09:30:00,short,4349.25
0,283974,284040,2021-12-20 21:35:00,2021-12-21 03:05:00,long,5016.25
0,284080,284087,2021-12-21 06:25:00,2021-12-21 07:00:00,long,-1674.5
0,284238,284272,2021-12-21 20:35:00,2021-12-21 23:25:00,long,-1511.75
0,284486,284509,2021-12-22 18:15:00,2021-12-22 20:10:00,short,-806.75
0,284696,284727,2021-12-23 11:45:00,2021-12-23 14:20:00,long,5296.500000000015
0,284922,284990,2021-12-27 07:35:00,2021-12-27 13:15:00,long,1560.0
0,285211,285212,2021-12-28 08:40:00,2021-12-28 08:45:00,short,-1270.4999999999854
0,285232,285238,2021-12-28 10:25:00,2021-12-28 10:55:00,short,-1335.2500000000146
0,285245,285280,2021-12-28 11:30:00,2021-12-28 14:25:00,short,980.0
0,285457,285478,2021-12-29 06:10:00,2021-12-29 07:55:00,short,242.5
0,285580,285581,2021-12-29 17:25:00,2021-12-29 17:30:00,short,-1160.4999999999854
0,285585,285588,2021-12-29 17:50:00,2021-12-29 18:05:00,short,-832.5
0,285591,285592,2021-12-29 18:20:00,2021-12-29 18:25:00,short,-1701.25
0,285965,285995,2021-12-31 02:30:00,2021-12-31 05:00:00,long,1435.5
0,286096,286105,2021-12-31 13:25:00,2021-12-31 14:10:00,short,185.25000000001455
0,286388,286398,2022-01-03 14:45:00,2022-01-03 15:35:00,short,-1939.0000000000146
0,286642,286645,2022-01-04 12:55:00,2022-01-04 13:10:00,short,-929.25
0,286922,286925,2022-01-05 13:15:00,2022-01-05 13:30:00,short,-1500.5
0,286929,286930,2022-01-05 13:50:00,2022-01-05 13:55:00,short,600.9999999999854
0,286931,286934,2022-01-05 14:00:00,2022-01-05 14:15:00,short,2491.7499999999854
0,286950,286953,2022-01-05 15:35:00,2022-01-05 15:50:00,short,-1094.5
0,286956,286961,2022-01-05 17:05:00,2022-01-05 17:30:00,short,-1739.7499999999854
0,286968,286974,2022-01-05 18:05:00,2022-01-05 18:35:00,short,-1764.2499999999854
0,286997,287027,2022-01-05 20:30:00,2022-01-05 23:00:00,short,792.0
0,287082,287094,2022-01-06 03:35:00,2022-01-06 04:35:00,short,-1148.75
0,287284,287300,2022-01-06 21:25:00,2022-01-06 22:45:00,short,4774.000000000015
0,287434,287435,2022-01-07 09:55:00,2022-01-07 10:00:00,short,1221.5000000000146
0,287690,287696,2022-01-10 08:15:00,2022-01-10 08:45:00,short,3471.5000000000146
0,287995,288004,2022-01-11 10:40:00,2022-01-11 11:25:00,long,-287.75000000001455
0,288211,288214,2022-01-12 05:40:00,2022-01-12 05:55:00,long,-205.5
0,288234,288258,2022-01-12 07:35:00,2022-01-12 09:35:00,long,561.75
0,288328,288332,2022-01-12 15:25:00,2022-01-12 15:45:00,long,-2245.5
0,288522,288530,2022-01-13 08:35:00,2022-01-13 09:15:00,long,-1752.5
0,288585,288599,2022-01-13 13:50:00,2022-01-13 15:00:00,short,-1119.0000000000146
0,288754,288778,2022-01-14 04:55:00,2022-01-14 06:55:00,short,-164.00000000001455
0,289160,289164,2022-01-17 15:45:00,2022-01-17 17:05:00,short,-1985.0
0,289282,289290,2022-01-18 02:55:00,2022-01-18 03:35:00,short,-1000.9999999999854
0,289336,289352,2022-01-18 07:25:00,2022-01-18 08:45:00,short,-888.75
0,289542,289561,2022-01-19 01:35:00,2022-01-19 03:10:00,short,-1234.0000000000146
0,289628,289638,2022-01-19 08:45:00,2022-01-19 09:35:00,long,-1660.75
0,289902,289939,2022-01-20 08:35:00,2022-01-20 11:40:00,long,1442.7500000000146
0,289992,290009,2022-01-20 17:05:00,2022-01-20 18:30:00,short,1533.4999999999854
0,290023,290032,2022-01-20 19:40:00,2022-01-20 20:25:00,short,-230.0
0,290045,290047,2022-01-20 21:30:00,2022-01-20 21:40:00,short,1085.0
0,290155,290157,2022-01-21 06:40:00,2022-01-21 06:50:00,short,-1436.25
0,290246,290247,2022-01-21 14:15:00,2022-01-21 14:20:00,short,-1706.75
0,290262,290267,2022-01-21 15:35:00,2022-01-21 16:00:00,short,4862.5
0,290268,290269,2022-01-23 17:05:00,2022-01-23 17:10:00,short,273.75
0,290312,290360,2022-01-23 20:45:00,2022-01-24 00:45:00,short,496.50000000001455
0,290375,290379,2022-01-24 02:00:00,2022-01-24 02:20:00,short,-1370.9999999999854
0,290385,290386,2022-01-24 02:50:00,2022-01-24 02:55:00,short,5.75
0,290391,290394,2022-01-24 03:20:00,2022-01-24 03:35:00,short,-127.5
0,290397,290403,2022-01-24 03:50:00,2022-01-24 04:20:00,short,3115.9999999999854
0,290404,290409,2022-01-24 04:25:00,2022-01-24 04:50:00,short,-1172.5
0,290410,290413,2022-01-24 04:55:00,2022-01-24 05:10:00,short,318.25000000001455
0,290436,290437,2022-01-24 07:05:00,2022-01-24 07:10:00,short,-222.75000000001455
0,290889,290909,2022-01-25 22:50:00,2022-01-26 00:30:00,long,-1378.4999999999854
0,290944,290951,2022-01-26 03:25:00,2022-01-26 04:00:00,long,-1679.25
0,290963,290965,2022-01-26 05:00:00,2022-01-26 05:10:00,long,-691.75
0,290998,291008,2022-01-26 07:55:00,2022-01-26 08:45:00,long,69.00000000001455
0,291060,291062,2022-01-26 13:05:00,2022-01-26 13:15:00,long,-574.7499999999854
