segment,direction,entry_time,exit_time,entry_price,exit_price,pnl,holding_bars,trade_return
0,short,2007-07-24 14:45:00,2007-07-25 17:55:00,74.92,75.76,-834.5999999999913,104,-0.011211959423384989
0,short,2007-08-03 19:25:00,2007-08-07 19:15:00,74.65,71.92,2659.200000000026,130,0.03657066309444077
0,short,2007-08-09 14:05:00,2007-08-09 16:45:00,69.57,70.78,-1105.0000000000146,32,-0.01739255426189461
0,short,2007-08-10 14:05:00,2007-08-10 18:20:00,69.14,70.35,-1228.999999999971,51,-0.01750072317037885
0,short,2007-08-20 18:35:00,2007-08-21 15:00:00,68.99,70.26,-1358.6000000000204,23,-0.01840846499492695
0,short,2007-08-21 16:20:00,2007-08-23 14:05:00,68.95,69.81,-592.7999999999738,105,-0.012472806381435815
0,long,2007-08-27 19:15:00,2007-09-06 18:10:00,70.89,74.17,3256.0000000000146,503,0.046268867259133886
0,long,2007-09-11 19:30:00,2007-09-17 14:10:00,75.8,75.81,-17.400000000052387,200,0.00013192612137209915
0,long,2007-09-18 17:00:00,2007-09-24 14:55:00,77.46,78.37,841.2000000000262,239,0.011747998967209022
0,long,2007-09-27 19:15:00,2007-09-28 17:20:00,79.99,79.56,-601.0000000000437,43,-0.005375671958994782
0,short,2007-10-02 16:15:00,2007-10-04 17:05:00,76.35,77.75,-1526.199999999997,142,-0.018336607727570474
0,short,2007-10-08 18:55:00,2007-10-09 16:10:00,76.19,77.45,-1451.6000000000058,33,-0.016537603360021066
1,long,2007-10-18 19:15:00,2007-10-19 14:20:00,84.28,83.85,-447.1999999999971,7,-0.005102040816326612
1,long,2007-10-25 14:05:00,2007-10-26 17:25:00,85.42,87.81,2343.1000000000204,106,0.02797939592601265
1,long,2007-10-26 19:30:00,2007-10-30 14:05:00,88.74,89.41,805.1000000000931,67,0.00755014649537978
1,long,2007-10-31 15:55:00,2007-10-31 16:15:00,90.35,89.86,-557.4000000000087,4,-0.005423353624792417
1,long,2007-10-31 17:45:00,2007-10-31 18:20:00,90.49,90.12,-499.3999999999942,7,-0.004088849596640406
1,long,2007-11-02 14:10:00,2007-11-05 14:05:00,90.8,90.51,447.8999999999796,65,-0.0031938325991188554
1,long,2007-11-05 17:15:00,2007-11-05 18:55:00,92.22,91.28,-873.0999999999767,20,-0.010193016699197546
1,long,2007-11-06 14:05:00,2007-11-07 15:30:00,92.27,93.41,1086.6000000000204,83,0.012355044976698825
1,long,2007-11-07 15:35:00,2007-11-07 15:50:00,94.18,93.3,-546.2000000000116,3,-0.00934380972605659
1,long,2007-11-08 14:15:00,2007-11-08 16:50:00,94.42,93.82,-647.5999999999913,31,-0.006354585892819408
1,short,2007-11-13 16:25:00,2007-11-13 17:35:00,88.53,88.36,84.7000000000262,14,0.0019202530215746267
1,short,2007-11-13 18:55:00,2007-11-13 19:20:00,87.57,88.5,-754.1000000000058,5,-0.010620075368276886
1,long,2007-11-20 15:15:00,2007-11-21 15:05:00,94.08,95.02,989.2999999999884,64,0.009991496598639432
1,long,2007-11-21 15:35:00,2007-11-21 16:10:00,95.9,95.27,-820.8000000000175,7,-0.006569343065693531
1,short,2007-11-28 16:15:00,2007-11-29 14:05:00,90.59,91.06,94.40000000000872,40,-0.005188210619273638
1,short,2007-11-30 14:05:00,2007-11-30 18:05:00,88.34,89.02,-701.199999999968,48,-0.0076975322617160126
1,short,2007-11-30 19:30:00,2007-12-03 16:45:00,87.98,87.97,-20.89999999999418,33,0.00011366219595368397
1,short,2007-12-06 14:05:00,2007-12-06 14:30:00,87.21,87.89,-700.0000000000291,5,-0.0077972709551657705
1,long,2007-12-12 15:40:00,2007-12-13 14:05:00,91.79,92.86,1180.4999999999854,47,0.011657043250898716
1,long,2007-12-26 14:05:00,2007-12-26 16:30:00,93.72,94.04,349.4000000000233,29,0.0034144259496372963
1,long,2007-12-27 15:50:00,2007-12-27 19:10:00,95.24,95.07,-368.69999999998254,40,-0.0017849643007140038
1,long,2008-01-02 14:05:00,2008-01-03 17:45:00,96.12,97.64,1335.1999999999823,110,0.015813566375364085
1,short,2008-01-10 14:05:00,2008-01-10 17:35:00,92.85,93.23,-362.5000000000291,42,-0.0040926225094239065
1,short,2008-01-10 19:15:00,2008-01-11 15:55:00,92.43,91.94,480.0,26,0.005301309098777551
1,short,2008-01-11 18:55:00,2008-01-14 14:05:00,91.15,92.01,-628.2999999999884,8,-0.009434997257268232
1,short,2008-01-15 14:40:00,2008-01-16 19:10:00,90.95,89.05,1747.2000000000553,120,0.020890599230346404
1,short,2008-01-17 17:15:00,2008-01-17 18:15:00,88.39,89.1,-742.0999999999913,12,-0.008032582871365468
2,short,2008-01-21 14:05:00,2008-01-22 14:55:00,87.85,87.05,879.3000000000029,76,0.009106431417188357
2,long,2008-01-25 14:35:00,2008-01-25 17:55:00,90.91,90.57,-463.9999999999272,40,-0.003739962600374034
2,long,2008-01-28 17:50:00,2008-01-30 15:35:00,91.33,92.02,185.20000000001164,105,0.007555020256213706
2,long,2008-01-30 16:15:00,2008-01-30 16:45:00,92.34,91.63,-785.1999999999971,6,-0.007688975525232921
2,long,2008-01-30 19:30:00,2008-01-31 14:05:00,92.54,91.6,-915.8999999999942,1,-0.010157769613140391
2,long,2008-01-31 19:00:00,2008-01-31 19:25:00,92.65,91.79,-788.3000000000175,5,-0.009282245008094974
2,short,2008-02-05 18:25:00,2008-02-05 19:15:00,88.47,89.0,-500.5,10,-0.0059907313213518835
2,short,2008-02-06 15:35:00,2008-02-06 17:00:00,87.94,88.28,-555.7999999999884,17,-0.003866272458494467
2,short,2008-02-06 19:15:00,2008-02-07 15:25:00,87.68,87.75,-58.30000000000291,20,-0.0007983576642334988
2,long,2008-02-11 16:25:00,2008-02-11 16:35:00,92.94,93.63,594.7999999999884,2,0.007424144609425412
2,long,2008-02-14 15:00:00,2008-02-14 18:30:00,94.52,94.19,-311.9999999999709,42,-0.0034913245873888945
2,long,2008-02-14 19:20:00,2008-02-15 16:45:00,95.11,95.07,-308.0000000000291,35,-0.0004205656608138603
2,long,2008-02-19 14:05:00,2008-02-20 14:05:00,97.02,97.28,652.9999999999854,66,0.0026798598227170184
2,long,2008-02-20 19:15:00,2008-02-20 19:30:00,98.85,98.28,-662.1999999999971,3,-0.005766312594840599
2,long,2008-02-26 17:10:00,2008-02-27 15:45:00,99.58,98.8,-867.4999999999127,49,-0.007832898172323771
2,long,2008-02-27 18:15:00,2008-02-27 18:55:00,99.71,98.88,-928.1999999999972,8,-0.008324140006017434
2,long,2008-02-28 16:05:00,2008-02-29 14:05:00,100.15,100.08,-101.0,42,-0.0006989515726411122
2,long,2008-03-03 14:30:00,2008-03-03 19:10:00,101.41,101.37,-182.90000000002328,56,-0.00039443841830186417
2,long,2008-03-06 15:50:00,2008-03-06 16:45:00,102.23,101.57,-696.0,11,-0.006456030519417106
2,long,2008-03-06 19:30:00,2008-03-07 14:40:00,102.67,102.03,-809.3000000000175,8,-0.006233563845329702
2,long,2008-03-07 16:15:00,2008-03-07 17:00:00,103.0,103.11,-99.7999999999738,9,0.001067961165048538
2,long,2008-03-10 17:20:00,2008-03-11 14:05:00,103.73,103.34,-394.2000000000262,27,-0.003759760917767286
2,long,2008-03-11 16:30:00,2008-03-11 17:30:00,104.32,103.69,-835.6999999999825,12,-0.006039110429447809
2,long,2008-03-12 14:10:00,2008-03-12 14:35:00,104.41,103.44,-925.6999999999824,5,-0.009290297864189244
2,long,2008-03-12 15:45:00,2008-03-13 15:30:00,104.41,105.63,1331.499999999971,63,0.011684704530217402
2,long,2008-03-14 14:05:00,2008-03-14 14:50:00,106.79,105.93,-919.8000000000028,9,-0.00805318850079595
2,short,2008-03-17 17:35:00,2008-03-17 17:45:00,100.31,100.7,-225.0,2,-0.0038879473631741658
2,short,2008-03-20 14:05:00,2008-03-20 14:40:00,98.9,99.6,-746.1999999999825,7,-0.00707785642062678
2,long,2008-04-07 14:05:00,2008-04-08 14:05:00,106.19,106.09,195.0000000000291,66,-0.000941708258781376
2,long,2008-04-09 15:35:00,2008-04-09 19:30:00,108.3,108.45,65.00000000001455,47,0.0013850415512465899
2,long,2008-04-14 15:40:00,2008-04-16 16:30:00,109.36,111.48,2202.700000000026,142,0.019385515727871293
2,long,2008-04-16 19:30:00,2008-04-17 16:30:00,112.54,112.05,-521.9000000000378,30,-0.004354007464012876
3,long,2008-04-18 16:10:00,2008-04-21 16:25:00,113.23,113.19,-113.00000000001457,69,-0.000353263269451614
3,long,2008-04-21 19:25:00,2008-04-23 14:05:00,114.35,115.2,1192.500000000029,68,0.0074333187581985885
3,long,2008-04-25 15:45:00,2008-04-25 19:20:00,116.8,116.14,-455.5999999999767,43,-0.00565068493150682
3,long,2008-05-05 15:25:00,2008-05-07 15:35:00,117.54,120.11,2200.0999999999767,134,0.021864897056321192
3,long,2008-05-07 16:00:00,2008-05-07 16:05:00,120.79,120.43,-574.7000000000116,1,-0.002980379170461126
3,long,2008-05-07 18:05:00,2008-05-08 16:10:00,121.69,121.79,20.20000000001164,43,0.0008217602103706839
3,long,2008-05-08 19:30:00,2008-05-09 15:10:00,122.94,124.71,1661.0,14,0.014397266959492403
3,long,2008-05-16 14:05:00,2008-05-16 15:40:00,125.62,124.74,-583.4000000000378,19,-0.007005253940455418
3,long,2008-05-20 14:15:00,2008-05-22 15:25:00,126.45,132.11,5922.499999999985,146,0.044760775009885415
3,long,2008-06-06 14:35:00,2008-06-06 15:15:00,133.71,132.31,-1198.9000000000233,8,-0.010470421060504118
3,long,2008-06-06 16:30:00,2008-06-06 18:30:00,133.65,136.06,1870.6999999999823,24,0.018032173587729117
3,long,2008-06-06 19:15:00,2008-06-09 14:05:00,136.93,136.0,-231.20000000001164,4,-0.006791791426276249
3,long,2008-06-11 18:40:00,2008-06-11 19:05:00,138.32,137.01,-1324.1999999999823,5,-0.009470792365529225
3,long,2008-06-16 14:05:00,2008-06-16 14:45:00,138.21,137.53,-798.3999999999796,8,-0.004920049200492054
3,long,2008-06-26 19:15:00,2008-06-27 16:30:00,139.83,140.3,76.39999999997963,33,0.0033612243438460904
3,long,2008-06-27 18:10:00,2008-06-27 19:25:00,141.64,141.51,-139.69999999998254,15,-0.000917819824908186
3,long,2008-06-30 14:25:00,2008-06-30 15:25:00,142.94,141.9,-1360.5,12,-0.007275780047572352
3,long,2008-07-01 14:05:00,2008-07-01 15:50:00,142.93,141.8,-1093.0999999999913,21,-0.007905967956342233
3,long,2008-07-02 16:30:00,2008-07-02 19:20:00,142.99,142.79,-638.2999999999593,34,-0.0013986992097350657
3,long,2008-07-02 19:30:00,2008-07-03 15:10:00,144.45,144.53,-118.2999999999738,14,0.0005538248528903601
3,long,2008-07-03 19:20:00,2008-07-04 16:10:00,145.82,144.64,-1072.5000000000146,28,-0.008092168426827643
3,long,2008-07-11 14:05:00,2008-07-11 15:55:00,146.78,145.35,-795.0,22,-0.009742471726393288
4,short,2008-07-17 18:15:00,2008-07-17 18:50:00,132.48,132.23,-395.2000000000262,7,0.0018870772946859905
4,short,2008-07-17 19:20:00,2008-07-18 14:05:00,131.75,131.56,-327.29999999998836,3,0.0014421252371916336
4,short,2008-07-18 16:20:00,2008-07-18 16:40:00,131.04,131.85,-805.0000000000146,4,-0.006181318681318699
4,short,2008-07-18 19:15:00,2008-07-21 14:05:00,130.07,131.77,-1270.000000000029,4,-0.01306988544629828
4,short,2008-07-22 15:00:00,2008-07-22 15:35:00,129.78,129.2,358.99999999998545,7,0.004469101556480294
4,short,2008-07-22 16:15:00,2008-07-22 18:20:00,128.49,128.77,-425.99999999998545,25,-0.0021791579111214965
4,short,2008-07-23 14:10:00,2008-07-23 15:40:00,127.52,127.15,-1153.6000000000204,18,0.002901505646173074
4,short,2008-07-23 19:10:00,2008-07-24 14:20:00,126.34,126.26,29.79999999998836,8,0.0006332119677061761
4,short,2008-07-24 14:50:00,2008-07-24 16:30:00,125.3,125.63,-80.9999999999709,20,-0.0026336791699920056
4,short,2008-07-25 15:05:00,2008-07-25 15:35:00,123.93,124.67,-733.9000000000087,6,-0.005971112724925319
4,short,2008-07-29 15:05:00,2008-07-29 15:55:00,122.8,121.92,610.5999999999913,10,0.007166123778501592
4,short,2008-08-04 16:35:00,2008-08-04 16:40:00,120.29,119.18,-192.49999999998545,1,0.009227699725662977
4,short,2008-08-04 16:45:00,2008-08-04 16:50:00,119.6,120.18,-428.0,1,-0.004849498327759302
4,short,2008-08-05 14:10:00,2008-08-05 14:20:00,118.66,119.19,-1004.3999999999942,2,-0.0044665430642171
4,short,2008-08-05 15:15:00,2008-08-05 15:30:00,118.77,119.77,-894.3999999999942,3,-0.008419634587858887
4,short,2008-08-05 16:05:00,2008-08-05 17:15:00,118.5,118.56,-83.69999999999709,14,-0.0005063291139240699
4,short,2008-08-05 19:20:00,2008-08-06 15:30:00,117.5,118.43,-1023.1000000000058,20,-0.007914893617021334
4,short,2008-08-06 15:40:00,2008-08-06 15:45:00,117.44,118.28,-881.0999999999913,1,-0.00715258855585834
4,short,2008-08-06 16:15:00,2008-08-06 17:15:00,116.92,116.87,144.1999999999971,12,0.00042764283270609955
4,short,2008-08-08 14:05:00,2008-08-08 14:35:00,115.14,115.73,-1050.0,6,-0.005124196630189364
4,short,2008-08-08 14:50:00,2008-08-08 15:50:00,114.69,114.39,-35.5,12,0.0026157467957101505
4,short,2008-08-08 16:15:00,2008-08-08 17:05:00,113.42,114.37,-982.3000000000176,10,-0.008375947804620022
4,short,2008-08-08 19:25:00,2008-08-11 14:30:00,113.42,113.98,-406.6000000000058,7,-0.004937400811144439
4,short,2008-08-11 16:30:00,2008-08-11 19:15:00,112.29,112.11,69.30000000001746,33,0.001602992252204175
4,short,2008-08-15 15:00:00,2008-08-15 16:45:00,110.97,111.37,-483.09999999999127,21,-0.0036045778138236073
4,long,2008-08-21 14:05:00,2008-08-21 17:10:00,117.98,119.89,1700.699999999997,37,0.016189184607560574
4,short,2008-09-01 14:15:00,2008-09-01 16:35:00,111.51,110.03,1208.2999999999738,28,0.013272352255403137
4,short,2008-09-02 14:05:00,2008-09-02 14:30:00,105.67,106.5,-813.8999999999942,5,-0.007854641809406628
4,short,2008-09-04 16:25:00,2008-09-04 17:00:00,105.7,106.32,-551.6000000000058,7,-0.005865657521286568
4,short,2008-09-05 14:50:00,2008-09-05 16:05:00,105.59,104.4,1065.5,15,0.011270006629415642
4,short,2008-09-05 19:25:00,2008-09-08 15:00:00,103.89,105.0,-614.3000000000175,13,-0.010684377707190293
4,short,2008-09-08 16:45:00,2008-09-08 18:05:00,103.47,103.24,56.49999999998545,16,0.0022228665313617857
4,short,2008-09-08 18:50:00,2008-09-08 19:15:00,102.61,103.35,-793.3999999999942,5,-0.007211772731702514
4,short,2008-09-09 14:05:00,2008-09-09 17:40:00,101.9,101.69,193.39999999999415,43,0.0020608439646713243
4,short,2008-09-09 19:30:00,2008-09-10 14:20:00,100.28,101.19,-931.6999999999972,4,-0.00907459114479454
4,short,2008-09-10 15:40:00,2008-09-10 15:45:00,100.65,100.25,-319.3000000000029,1,0.0039741679085941945
4,short,2008-09-10 15:50:00,2008-09-10 16:45:00,99.63,99.08,509.0000000000291,11,0.005520425574626089
4,short,2008-09-15 14:05:00,2008-09-15 14:20:00,94.15,94.43,-324.99999999998545,3,-0.0029739776951672983
4,short,2008-09-16 14:05:00,2008-09-16 14:30:00,90.01,89.89,90.10000000000582,5,0.0013331852016443121
4,short,2008-09-16 18:25:00,2008-09-16 18:35:00,89.0,89.61,-829.0,2,-0.006853932584269656
4,long,2008-09-22 14:05:00,2008-09-22 15:30:00,102.27,102.79,491.59999999999127,17,0.005084580033245432
4,long,2008-09-22 17:05:00,2008-09-22 18:15:00,103.86,105.28,1366.7000000000116,14,0.01367225110725979
4,long,2008-09-22 18:40:00,2008-09-22 18:55:00,106.12,105.4,-725.0,3,-0.006784771956275903
4,long,2008-09-22 19:20:00,2008-09-22 19:30:00,106.44,106.03,-441.09999999999127,2,-0.00385193536264559
4,short,2008-09-29 18:45:00,2008-09-29 18:50:00,94.72,94.25,396.50000000001455,1,0.004961993243243232
4,short,2008-10-01 15:45:00,2008-10-01 16:10:00,94.18,93.4,341.29999999998836,5,0.008282013166277353
4,short,2008-10-02 14:05:00,2008-10-02 14:30:00,92.7,93.12,-603.3999999999942,5,-0.0045307443365695975
4,short,2008-10-02 15:05:00,2008-10-02 16:05:00,92.04,91.8,170.8000000000029,12,0.0026075619295959267
4,short,2008-10-02 18:20:00,2008-10-02 18:35:00,91.27,91.77,-568.9000000000087,3,-0.005478251342171579
4,short,2008-10-02 19:25:00,2008-10-03 14:30:00,90.6,89.13,1680.0,7,0.016225165562913896
4,short,2008-10-06 14:05:00,2008-10-06 14:20:00,86.92,87.45,-616.2999999999884,3,-0.006097560975609769
4,short,2008-10-06 15:05:00,2008-10-06 16:00:00,86.37,86.4,-196.6999999999971,11,-0.00034734282737062795
4,short,2008-10-06 16:45:00,2008-10-06 17:20:00,85.37,85.79,-671.5000000000146,7,-0.004919761040178068
4,short,2008-10-06 18:00:00,2008-10-06 18:40:00,84.78,85.37,-453.50000000001455,8,-0.006959188487850949
4,short,2008-10-06 19:15:00,2008-10-07 14:05:00,84.3,85.83,66.39999999999418,4,-0.018149466192170834
4,short,2008-10-07 18:50:00,2008-10-07 19:10:00,83.25,83.8,-458.4000000000233,4,-0.006606606606606572
4,short,2008-10-08 15:40:00,2008-10-08 15:55:00,83.18,82.92,320.0,3,0.003125751382543942
4,short,2008-10-08 16:15:00,2008-10-08 16:35:00,82.02,82.08,-183.5,4,-0.0007315288953913957
4,short,2008-10-08 16:45:00,2008-10-08 16:55:00,81.36,82.52,-793.0,2,-0.014257620452310675
4,short,2008-10-10 14:05:00,2008-10-10 14:15:00,78.35,77.9,317.8000000000029,2,0.0057434588385448454
4,short,2008-10-10 14:20:00,2008-10-10 14:30:00,77.04,77.19,-32.69999999998254,2,-0.0019470404984422568
4,short,2008-10-10 18:40:00,2008-10-10 19:00:00,75.99,75.41,169.6999999999971,4,0.007632583234636114
4,short,2008-10-10 19:05:00,2008-10-10 19:10:00,75.17,76.6,-488.6999999999971,1,-0.019023546627643908
5,short,2008-10-15 14:05:00,2008-10-16 17:10:00,74.09,68.39,5688.899999999907,103,0.07693345930624919
5,short,2008-10-22 14:45:00,2008-10-23 14:20:00,66.33,65.91,411.199999999968,61,0.006331976481230238
5,short,2008-10-24 14:05:00,2008-10-24 15:05:00,61.86,63.1,-1051.199999999997,12,-0.020045263498221822
5,short,2008-10-27 14:05:00,2008-10-27 16:15:00,61.27,62.0,-755.3999999999942,26,-0.011914476905500192
5,short,2008-10-28 17:40:00,2008-10-29 14:05:00,60.18,64.15,-1114.0999999999913,23,-0.06596876038551024
5,short,2008-11-06 14:55:00,2008-11-06 18:00:00,59.69,58.07,1516.800000000003,37,0.0271402244932149
5,short,2008-11-10 17:40:00,2008-11-10 18:30:00,56.54,57.82,-1365.4000000000087,10,-0.022638839759462348
5,short,2008-11-11 14:50:00,2008-11-11 19:20:00,56.26,55.87,-347.6000000000058,54,0.006932100959829374
5,short,2008-11-12 16:40:00,2008-11-13 15:25:00,55.04,56.11,-856.8999999999942,51,-0.019440406976744193
5,short,2008-11-13 16:10:00,2008-11-13 18:35:00,54.34,54.64,-547.5,29,-0.0055207949944791525
5,short,2008-11-17 16:50:00,2008-11-18 17:00:00,53.45,53.0,437.1000000000058,68,0.008419083255378912
5,short,2008-11-19 14:05:00,2008-11-19 14:50:00,51.62,52.68,-1176.5999999999913,9,-0.02053467648198377
5,short,2008-11-20 14:05:00,2008-11-20 14:35:00,48.58,49.81,-1106.0,6,-0.02531906134211618
5,short,2008-11-20 19:25:00,2008-11-21 14:05:00,48.22,49.51,-1136.4000000000087,2,-0.026752384902530055
5,short,2008-11-21 16:05:00,2008-11-21 17:05:00,47.81,48.83,-1103.5,12,-0.02133444886007103
5,short,2008-12-02 16:00:00,2008-12-02 17:30:00,47.39,47.71,-236.0,18,-0.006752479426039255
5,short,2008-12-02 19:10:00,2008-12-03 15:50:00,46.05,46.2,-288.5,26,-0.0032573289902281368
5,short,2008-12-03 16:25:00,2008-12-04 15:05:00,45.15,45.46,-549.9000000000087,50,-0.006866002214839475
5,short,2008-12-04 16:05:00,2008-12-05 18:55:00,44.24,40.69,3669.5,100,0.08024412296564204
5,short,2008-12-23 17:25:00,2008-12-23 18:10:00,39.32,40.43,-1096.0,9,-0.028229908443540168
5,short,2008-12-24 14:05:00,2008-12-26 14:05:00,38.44,37.04,1114.0,66,0.03642039542143597
6,short,2009-02-16 17:40:00,2009-02-19 14:05:00,43.39,40.66,2726.800000000003,155,0.06291772297764471
6,long,2009-03-13 14:05:00,2009-03-13 16:55:00,46.72,46.04,-772.3000000000029,34,-0.01455479452054794
6,long,2009-03-17 14:25:00,2009-03-18 14:35:00,47.46,47.23,-309.5,68,-0.0048461862621155495
6,long,2009-03-18 18:55:00,2009-03-25 14:05:00,48.75,52.39,3454.199999999997,272,0.07466666666666667
6,long,2009-04-09 14:10:00,2009-04-14 14:40:00,53.75,52.95,-1148.1000000000058,72,-0.014883720930232505
7,long,2009-05-04 19:00:00,2009-05-07 18:35:00,54.21,55.81,2223.399999999994,193,0.029514849658734577
7,long,2009-05-08 19:15:00,2009-05-13 19:20:00,57.98,57.7,-256.5,199,-0.004829251466022664
7,long,2009-05-20 14:05:00,2009-05-21 15:35:00,59.52,59.1,-661.6000000000058,84,-0.007056451612903254
7,long,2009-05-22 14:05:00,2009-05-26 14:20:00,60.61,59.09,-1586.7000000000116,69,-0.025078369905956046
7,long,2009-05-26 17:55:00,2009-06-03 16:25:00,60.86,66.45,5593.500000000029,378,0.09185014788038126
